,장소,위치,시간,요금종류,요금
0,북서울꿈의숲,서울 강북구 월계로 173,매일 00:00 - 24:00,입장료,무료
1,서울타워,서울 용산구 남산공원길 105,매일 10:00 - 23:00,전망대 (대인),"11,000원"
2,그랜드하얏트서울호텔,,,,
3,광화문,서울 종로구 효자로 12 국립고궁박물관,화요일 휴무,대인(만25세~만64세),"3,000원"
4,서울월드컵경기장,서울 마포구 성산동 515-39,"매일 09:00 - 18:00경기행사일, 명절당일 관람제한",입장료 성인,"1,000원"
5,서울숲,서울 성동구 뚝섬로 273,매일 00:00 - 24:00연중무휴.,입장료,무료
6,신라호텔,,,,
7,419기념탑,,,,
8,서울가든호텔,,,,
9,웨스틴조선호텔,,,,
10,반얀트리클럽앤스파서울,,,,
11,태릉CC,,,,
12,롯데호텔서울점,,,,
13,경남관광호텔,,,,
14,이촌한강공원,서울 용산구 이촌로72길 62 한강공원 이촌안내센터,,입장료,무료
15,더플라자호텔,,,,
16,어린이대공원,서울 광진구 능동로 216,,공원입장료,무료
17,뚝섬한강공원,서울 광진구 강변북로 139,,입장료,무료
18,그랜드워커힐서울,,,,
19,뚝섬유원지,서울 광진구 자양동 427-1,,입장료,무료
20,밀레니엄서울힐튼호텔,,,,
21,하늘공원,,,,
22,난지한강공원,서울 마포구 한강난지로 162 한강공원 난지안내센터,,입장료,무료
23,스위스그랜드호텔,,,,
24,북악스카이웨이,서울 종로구 평창동 산6-94,,이용료,무료
25,서울창포원,서울 도봉구 마들로 916,평일 07:00 - 22:00,입장료,무료
